Date,maxAT,minAT,humidity
2023/10/1,23,13,59%
2023/10/2,22,12,62%
2023/10/3,23,12,60%
2023/10/4,23,13,62%
2023/10/5,22,12,65%
2023/10/6,23,13,62%
2023/10/7,22,12,63%
2023/10/8,22,12,65%
2023/10/9,21,12,66%
2023/10/10,24,13,64%
2023/10/11,24,13,59%
2023/10/12,24,16,60%
2023/10/13,23,13,57%
2023/10/14,24,12,55%
2023/10/15,23,12,54%
2023/10/16,23,12,56%
2023/10/17,25,15,95%
2023/10/18,23,12,74%
2023/10/19,21,9,40%
2023/10/20,17,6,59%
2023/10/21,22,8,77%
2023/10/22,23,10,89%
2023/10/23,24,11,92%
2023/10/24,25,11,91%
2023/10/25,25,11,95%
2023/10/26,25,13,96%
2023/10/27,24,13,100%
2023/10/28,22,12,100%
2023/10/29,16,6,57%
2023/10/30,16,6,55%
2023/10/31,15,6,55%
